station,distance,services_per_day,n_of_disruptions
DWE,27,0,17
DZ,102,0,62
DZW,101,0,62
EC,298,0,566
ED,198,0,367
EDC,200,0,389
EDN,340,0,570
EEM,109,0,61
EGH,334,0,585
EGHM,335,0,585
EHS,271,0,536
EHV,272,0,417
EKZ,277,0,513
EML,148,0,34
EMN,180,0,66
EMNZ,176,0,65
ES,172,0,132
ESE,178,0,161
ESK,168,0,132
EST,192,0,367
ETN,294,0,753
FN,27,0,17
FWD,24,0,17
GBG,153,0,51
GBR,181,0,161
GD,224,0,344
GDG,221,0,272
GDM,218,0,425
GDR,214,0,156
GERP,66,0,32
GK,45,0,40
GLN,314,0,568
GN,64,0,17
GND,253,0,489
GNN,68,0,32
GO,179,0,165
GP,278,0,479
GR,244,0,487
GS,355,0,655
GV,253,0,429
GVC,252,0,429
GVM,253,0,464
GVMW,254,0,444
GW,23,0,17
GZ,273,0,432
HAD,239,0,457
HB,325,0,599
HBZM,256,0,499
HD,144,0,31
HDB,147,0,38
HDE,123,0,31
HDG,20,0,17
HDR,297,0,542
HDRZ,296,0,542
HFD,231,0,286
HGL,164,0,113
HGLG,166,0,132
HGLO,166,0,132
HGV,97,0,74
HGZ,79,0,55
HIL,246,0,497
HK,242,0,480
HKS,269,0,497
HLG,36,0,18
HLGH,37,0,22
HLM,235,0,420
HLMS,234,0,441
HLO,250,0,447
HM,285,0,479
HMBH,286,0,483
HMBV,282,0,479
HMH,284,0,479
HMN,206,0,381
HN,259,0,441
HNK,260,0,497
HNO,117,0,31
HNP,32,0,3
HON,155,0,107
HOR,193,0,272
HR,39,0,17
HRL,329,0,568
HRLW,331,0,585
HRN,70,0,32
HRT,270,0,483
HT,240,0,344
HTN,200,0,344
HTNC,201,0,372
HTO,241,0,417
HVL,177,0,271
HVS,187,0,271
HVSM,188,0,272
HVSP,188,0,272
HWD,262,0,523
HWZB,227,0,441
HZE,283,0,485
IJT,15,0,1
KBD,337,0,655
KBK,160,0,67
KLP,205,0,389
KMA,234,0,454
KMR,337,0,585
KMW,37,0,8
KPN,120,0,31
KPNZ,120,0,31
KRD,337,0,596
KRG,344,0,655
KTR,213,0,381
KW,76,0,53
KZ,228,0,444
LAA,253,0,458
LC,169,0,107
LDL,241,0,362
LDM,232,0,469
LEDN,242,0,369
LEER,137,0,32
LG,332,0,585
LLS,162,0,17
LLZM,237,0,429
LP,90,0,44
LTN,197,0,288
LTV,187,0,109
LUT,314,0,568
LW,10,0,0
LWC,13,0,17
MAS,199,0,344
MDB,374,0,655
MES,337,0,570
MMLH,210,0,388
MP,77,0,62
MRB,139,0,38
MRN,212,0,376
MT,331,0,568
MTH,77,0,78
MTN,334,0,570
MTR,332,0,570
MZ,293,0,490
[NEA,inf,0,0
NDB,193,0,272
NH,322,0,599
NKK,160,0,34
NM,200,0,367
NMD,205,0,388
NMGO,203,0,388
NMH,203,0,388
NML,199,0,381
NS,132,0,31
NSCH,112,0,85
NVD,137,0,31
NVP,236,0,414
NWK,233,0,429
O,224,0,388
OBD,268,0,533
ODB,298,0,624
ODZ,175,0,132
OMN,128,0,38
OP,209,0,381
OST,126,0,31
OT,261,0,460
OTB,185,0,367
OVN,237,0,457
OW,225,0,409
PMO,241,0,442
PMR,240,0,441
PMW,239,0,444
PT,153,0,48
RAI,214,0,165
RAT,123,0,31
RB,334,0,655
RD,102,0,71
RH,171,0,110
RHN,235,0,379
RL,174,0,109
RLB,255,0,508
RM,285,0,517
RS,236,0,409
RSD,305,0,619
RSN,153,0,43
RSW,256,0,444
RTA,238,0,429
RTB,249,0,499
RTD,248,0,429
RTN,243,0,431
RTST,253,0,508
RTZ,252,0,508
RV,274,0,503
RVS,216,0,367
SBK,317,0,598
SD,184,0,285
SDA,95,0,76
SDM,252,0,499
SDT,257,0,499
SDTB,260,0,500
SGL,341,0,584
SGN,276,0,533
SHL,226,0,236
SK,12,0,0
SKND,11,0,0
SM,280,0,517
SN,319,0,599
SOG,339,0,585
SPTN,242,0,475
SPTZ,240,0,475
SRN,303,0,595
SSH,247,0,414
ST,185,0,285
STD,310,0,566
STM,86,0,67
STV,41,0,8
STZ,186,0,275
SWD,75,0,55
SWK,63,0,19
TB,262,0,417
TBG,215,0,156
TBR,267,0,430
TBU,263,0,430
TG,267,0,484
TL,225,0,384
TPSW,227,0,384
TWL,141,0,107
UHM,99,0,71
UHZ,96,0,71
UST,91,0,70
UT,192,0,271
UTG,239,0,479
UTLN,196,0,344
UTLR,195,0,344
UTM,200,0,344
UTO,189,0,295
UTT,197,0,344
UTVR,193,0,344
UTZL,194,0,344
VB,249,0,429
VD,164,0,107
VDL,333,0,585
VDM,95,0,83
VEM,156,0,107
VG,244,0,417
VH,250,0,379
VHP,145,0,41
VK,342,0,585
VL,262,0,483
VLB,232,0,430
VNDC,227,0,378
VNDW,226,0,378
VP,175,0,113
VRY,239,0,431
VS,380,0,657
VSS,379,0,657
VST,247,0,464
VSV,218,0,140
VTN,199,0,349
VZ,152,0,42
WAD,232,0,429
WADN,233,0,429
WADT,231,0,429
WC,209,0,367
WD,208,0,271
WDN,145,0,43
WF,189,0,367
WFM,88,0,70
WH,119,0,31
WK,28,0,3
WL,204,0,139
WM,232,0,444
WP,202,0,163
WR,122,0,94
WS,100,0,85
WSM,80,0,56
WT,300,0,479
WTV,184,0,116
WV,50,0,17
WW,197,0,121
WWW,196,0,121
WZ,114,0,31
YPB,245,0,429
ZA,203,0,381
ZB,87,0,79
ZBM,227,0,468
ZD,226,0,441
ZDK,229,0,444
ZH,52,0,17
ZL,105,0,17
ZLSH,110,0,31
ZLW,282,0,619
ZP,152,0,107
ZTM,240,0,429
ZTMO,239,0,429
ZV,193,0,119
ZVB,290,0,624
ZVT,243,0,458
ZWD,266,0,613
ZZS,229,0,444
