station,distance,services_per_day,n_of_disruptions
DVN,115,0,99
DVNK,121,15.419354838709678,279
DWE,144,0,31
DZ,176,0,112
DZW,175,0,112
EC,225,0,549
ED,125,0,350
EDC,127,0,372
EDN,267,0,553
EEM,183,0,111
EGH,261,0,568
EGHM,262,0,568
EHS,177,0,423
EHV,178,0,304
EKZ,140,0,496
EML,75,0,17
EMN,107,0,49
EMNZ,103,0,48
ES,99,0,115
ESE,105,0,144
ESK,95,0,115
EST,119,0,350
ETN,200,0,640
FN,144,0,31
FWD,141,0,31
GBG,80,0,34
GBR,108,0,144
GD,130,0,231
GDG,127,0,231
GDM,124,0,312
GDR,141,0,139
GERP,136,0.2903225806451613,67
GK,157,0,82
GLN,241,0,551
GN,138,0.2903225806451613,67
GND,159,0,376
GNN,142,0,82
GO,106,0,148
GP,184,0,366
GR,150,0,374
GS,261,0,542
GV,134,0,279
GVC,133,15.419354838709678,269
GVM,129,15.419354838709678,364
GVMW,135,0,294
GW,114,0,71
GZ,179,0,319
HAD,102,0,440
HB,252,0,582
HBZM,162,0,386
HD,71,0,14
HDB,74,0,21
HDE,50,0,14
HDG,137,0,31
HDR,160,0,525
HDRZ,159,0,525
HFD,94,31.903225806451612,269
HGL,91,0,96
HGLG,93,0,115
HGLO,93,0,115
HGV,80,0.2903225806451613,14
HGZ,149,0,90
HIL,109,0,480
HK,105,0,463
HKS,132,0,480
HLG,153,0,32
HLGH,154,0,36
HLM,98,0,403
HLMS,97,0,424
HLO,113,0,430
HM,191,0,366
HMBH,192,0,370
HMBV,188,0,366
HMH,190,0,366
HMN,133,0,364
HN,122,0,424
HNK,123,0,480
HNO,44,0,14
HNP,169,0,34
HON,82,0,90
HOR,86,0,158
HR,98,0,14
HRL,256,0,551
HRLW,258,0,568
HRN,132,0.2903225806451613,67
HRT,197,0,466
[HRY,inf,0,0
HT,146,0,231
HTN,106,0,231
HTNC,107,0,259
HTO,147,0,304
HVL,102,0,398
HVS,80,0,157
HVSM,79,0,190
HVSP,81,0,158
HWD,125,0,506
HWZB,90,0,424
HZE,189,0,372
IJT,152,0,32
KBD,243,0,542
KBK,87,0,50
KLP,132,0,231
KMA,97,0,437
KMR,264,0,568
KMW,174,0,39
KPN,47,0,14
KPNZ,17,38.16129032258065,0
KRD,264,0,579
KRG,250,0,542
KTR,140,0,364
KW,146,0,88
KZ,91,0,427
LAA,132,15.419354838709678,397
LC,96,0,90
LDL,119,0,279
LDM,138,0,356
LEDN,118,30.483870967741936,269
LEER,207,0,106
LG,259,0,568
LLS,25,36.935483870967744,0
LLZM,143,0,316
LP,164,0,94
LTN,122,0,415
LTV,114,0,92
LUT,241,0,551
LW,127,0,14
LWC,130,0,31
MAS,98,0,162
MDB,280,0,542
MES,264,0,553
MG,137,0,31
MMLH,137,0,371
MP,60,0.2903225806451613,14
MRB,66,0,21
MRN,118,0,263
MT,258,0,551
MTH,147,0,90
MTN,261,0,553
MTR,259,0,553
MZ,199,0,377
[NEA,inf,0,0
NDB,74,0,146
NH,249,0,582
NKK,87,0,17
NM,127,0,350
NMD,132,0,371
NMGO,130,0,371
NMH,130,0,371
NML,126,0,364
NS,59,0,14
NSCH,182,0,97
NVD,64,0,14
NVP,99,30.483870967741936,397
NWK,139,0,316
O,151,0,371
OBD,131,0,516
ODB,204,0,511
ODZ,102,0,115
OMN,55,0,21
OP,136,0,364
OST,53,0,14
OT,167,0,347
OTB,112,0,350
OVN,100,0,440
OW,152,0,392
PMO,104,0,425
PMR,103,0,424
PMW,102,0,427
PT,80,0,31
RAI,77,0,148
RAT,50,0,14
RB,240,0,542
RD,176,0,98
RH,98,0,93
RHN,141,0,266
RL,101,0,92
RLB,161,0,395
RM,212,0,500
RS,153,0,307
RSD,211,0,506
RSN,80,0,26
RSW,137,0,294
RTA,144,0,316
RTB,155,0,386
RTD,154,0,316
RTN,149,0,318
RTST,159,0,395
RTZ,158,0,395
RV,201,0,486
RVS,143,0,350
SBK,244,0,581
SD,91,0,172
SDA,165,0,88
SDM,152,0,395
SDT,163,0,386
SDTB,166,0,387
SGL,268,0,567
SGN,139,0,516
SHL,89,31.903225806451612,219
SK,149,0,31
SKND,148,0,31
SM,207,0,500
SN,246,0,582
SOG,266,0,568
SPTN,105,0,458
SPTZ,103,0,458
SRN,230,0,578
SSH,110,30.483870967741936,397
ST,92,0,172
STD,237,0,549
STM,160,0,94
STV,178,0,39
STZ,93,0,172
SWD,149,0,82
SWK,74,0,64
TB,168,0,304
TBG,142,0,139
TBR,173,0,317
TBU,169,0,317
TG,194,0,467
TL,136,0,355
TPSW,134,0,355
TWL,68,0,90
UHM,173,0,98
UHZ,170,0,98
UST,165,0,97
UT,98,0,158
UTG,102,0,462
UTLN,102,0,231
UTLR,101,0,231
UTM,106,0,231
UTO,95,0,158
UTT,103,0,231
UTVR,99,0,231
UTZL,100,0,231
VB,136,0,298
VD,91,0,90
VDL,260,0,568
VDM,165,0,95
VEM,83,0,90
VG,150,0,304
VH,119,0,483
VHP,72,0,24
VK,269,0,568
VL,189,0,466
VLB,159,0,413
VNDC,133,0,265
VNDW,132,0,265
VP,102,0,96
VRY,166,0,414
VS,286,0,544
VSS,285,0,544
VST,123,15.419354838709678,364
VSV,145,0,123
VTN,105,0,236
VZ,79,0,25
WAD,138,0,316
WADN,139,0,316
WADT,137,0,316
WC,136,0,350
WD,114,0,231
WDN,72,0,26
WF,116,0,350
WFM,162,0,97
WH,46,0,14
WK,165,0,34
WL,131,0,122
WM,95,0,427
WP,65,35.096774193548384,146
WR,192,0,106
WS,170,0,97
WSM,154,0,83
WT,206,0,366
WTV,111,0,99
WV,87,0,14
WW,124,0,104
WWW,123,0,104
WZ,41,0,14
YPB,140,0,301
ZA,130,0,364
ZB,157,0,91
ZBM,133,0,355
ZD,89,0,424
ZDK,92,0,427
ZH,150,0,82
ZL,32,38.16129032258065,0
ZLSH,37,0,14
ZLW,188,0,506
ZP,79,0,90
ZTM,145,0,298
ZTMO,145,0,316
ZV,120,0,102
ZVB,196,0,511
ZVT,106,0,441
ZWD,172,0,500
ZZS,92,0,427
