station,distance,services_per_day,n_of_disruptions
GND,166,0,521
GNN,290,0,595
GO,205,0,654
GP,194,0,579
GR,160,0,587
GS,240,0,437
GV,110,0,215
GVC,109,0,215
GVM,105,0,300
GVMW,111,0,230
GW,262,0,523
GZ,189,0,532
HAD,69,0,165
HB,280,0,661
HBZM,163,0,521
HD,141,0,615
HDB,222,0,534
HDE,162,0,612
HDG,285,0,533
HDR,12,0,0
HDRZ,11,0,0
HFD,85,0,163
HGL,220,0,695
HGLG,218,0,695
HGLO,222,0,714
HGV,228,0,516
HGZ,297,0,603
HIL,76,0,205
HK,49,0,90
HKS,50,0,66
HLG,301,0,534
HLGH,302,0,538
HLM,65,0,128
HLMS,66,0,165
HLO,35,0,86
HM,201,0,579
HMBH,202,0,583
HMBV,198,0,579
HMH,200,0,579
HMN,165,0,571
HN,40,0,10
HNK,41,0,66
HNO,192,0,527
HNP,317,0,536
HON,191,0,678
HOR,104,0,372
HR,246,0,516
HRL,284,0,630
HRLW,286,0,647
HRN,280,0,580
HRT,228,0,611
[HRY,inf,0,0
HT,156,0,444
HTN,116,0,444
HTNC,117,0,472
HTO,157,0,517
HVL,120,0,612
HVS,98,0,371
HVSM,97,0,436
HVSP,99,0,372
HWD,23,0,0
HWZB,72,0,113
HZE,199,0,585
IJT,300,0,534
KBD,222,0,437
KBK,166,0,648
KLP,142,0,444
KMA,51,0,90
KMR,292,0,647
KMW,322,0,541
KPN,195,0,527
KPNZ,165,0,517
KRD,292,0,658
KRG,229,0,437
KTR,158,0,568
KW,294,0,601
KZ,57,0,125
LAA,108,0,215
LC,192,0,647
LDL,95,0,215
LDM,148,0,569
LEDN,94,0,205
LEER,355,0,619
LG,287,0,647
LLS,123,0,502
LLZM,124,0,247
LP,312,0,607
LTN,140,0,629
LTV,210,0,649
LUT,269,0,630
LW,275,0,516
LWC,278,0,533
MAS,101,0,385
MDB,259,0,437
MES,292,0,632
MG,285,0,533
MMLH,194,0,930
MP,208,0,527
MRB,214,0,534
MRN,128,0,476
MT,286,0,630
MTH,295,0,603
MTN,289,0,632
MTR,287,0,632
MZ,209,0,590
[NEA,inf,0,0
NDB,92,0,392
NH,277,0,661
NKK,125,0,612
NM,184,0,909
NMD,189,0,930
NMGO,187,0,930
NMH,187,0,930
NML,183,0,923
NS,153,0,612
NSCH,330,0,610
NVD,212,0,527
NVP,90,0,291
NWK,136,0,411
O,175,0,517
OBD,29,0,10
ODB,183,0,523
ODZ,231,0,714
OMN,203,0,534
OP,162,0,571
OST,182,0,678
OT,177,0,560
OTB,161,0,652
OVN,67,0,165
OW,174,0,520
PMO,58,0,66
PMR,59,0,66
PMW,60,0,67
PT,132,0,615
RAI,80,0,411
RAT,198,0,527
RB,219,0,437
RD,324,0,611
RH,175,0,912
RHN,151,0,479
RL,197,0,649
RLB,139,0,410
RM,240,0,579
RS,163,0,520
RSD,190,0,401
RSN,198,0,678
RSW,113,0,230
RTA,141,0,411
RTB,133,0,401
RTD,132,0,331
RTN,137,0,401
RTST,137,0,410
RTZ,136,0,410
RV,251,0,628
RVS,183,0,538
SBK,272,0,660
SD,109,0,386
SDA,313,0,601
SDM,128,0,331
SDT,162,0,520
SDTB,159,0,520
SGL,296,0,646
SGN,9,0,0
SHL,80,0,113
SK,297,0,533
SKND,296,0,533
SM,245,0,628
SN,274,0,661
SOG,294,0,647
SPTN,58,0,109
SPTZ,60,0,110
SRN,258,0,657
SSH,101,0,291
ST,110,0,386
STD,265,0,628
STM,308,0,607
STV,326,0,541
STZ,111,0,386
SWD,297,0,595
SWK,222,0,577
TB,178,0,517
TBG,201,0,946
TBR,183,0,530
TBU,179,0,530
TG,245,0,664
TL,146,0,568
TPSW,144,0,568
TWL,167,0,647
UHM,321,0,611
UHZ,318,0,611
UST,313,0,610
UT,108,0,371
UTG,46,0,89
UTLN,112,0,444
UTLR,111,0,444
UTM,116,0,444
UTO,111,0,444
UTT,113,0,444
UTVR,109,0,444
UTZL,106,0,388
VB,112,0,244
VD,187,0,647
VDL,288,0,647
VDM,313,0,608
VEM,171,0,649
VG,160,0,517
VH,86,0,208
VHP,220,0,537
VK,297,0,647
VL,240,0,663
VLB,216,0,972
VNDC,143,0,478
VNDW,142,0,478
VP,171,0,912
VRY,223,0,973
VS,265,0,439
VSS,264,0,439
VST,99,0,300
VSV,208,0,946
VTN,115,0,449
VZ,217,0,748
WAD,119,0,326
WADN,118,0,326
WADT,120,0,326
WC,190,0,541
WD,124,0,444
WDN,206,0,685
WF,157,0,652
WFM,310,0,610
WH,189,0,688
WK,313,0,536
WL,190,0,929
WM,53,0,115
WP,83,0,386
WR,340,0,619
WS,318,0,610
WSM,302,0,596
WT,216,0,579
WTV,170,0,911
WV,235,0,516
WW,220,0,661
WWW,219,0,661
WZ,171,0,625
YPB,116,0,247
ZA,168,0,571
ZB,305,0,604
ZBM,143,0,568
ZD,59,0,89
ZDK,62,0,92
ZH,298,0,595
ZL,180,0,513
ZLSH,185,0,527
ZLW,167,0,518
ZP,175,0,647
ZTM,121,0,244
ZTMO,122,0,247
ZV,179,0,909
ZVB,175,0,523
ZVT,73,0,166
ZWD,150,0,515
ZZS,56,0,125
