Station Code,distance_WC,services_per_day_WC,n_of_disruptions_WC
FWD,213,0,367
GBG,145,0,413
GD,114,0,170
GDG,111,0,170
GDM,56,0,97
GDR,63,0,294
GERP,208,0,403
GK,229,0,418
GLN,123,0,201
GN,210,0,403
GND,91,0,161
GNN,214,0,418
GO,87,0,267
GP,72,0,159
GR,82,0,159
GS,151,0,469
GV,143,0,255
GVC,142,0,255
GVM,143,0,363
GVMW,144,0,270
GW,186,0,357
GZ,67,28.258064516129032,112
HAD,144,0,465
HB,134,0,232
HBZM,94,0,171
HD,106,0,540
HDB,139,0,400
HDE,122,0,350
HDG,209,0,367
HDR,202,0,550
HDRZ,201,0,550
HFD,133,0,234
HGL,102,0,308
HGLG,100,0,308
HGLO,104,0,327
HGV,152,0,350
HGZ,221,0,426
HIL,150,0,278
HK,147,0,488
HKS,174,0,505
HLG,225,0,368
HLGH,226,0,372
HLM,140,0,428
HLMS,139,0,449
HLO,155,0,455
HM,79,0,159
HMBH,80,0,163
HMBV,76,0,159
HMH,78,0,159
HMN,31,0,35
HN,164,0,449
HNK,165,0,505
HNO,116,0,350
HNP,241,0,370
HON,92,0,326
HOR,94,0,170
HR,170,0,350
HRL,138,0,201
HRLW,140,0,218
HRN,204,0,403
HRT,79,0,116
HT,34,29.838709677419356,24
HTN,74,0,193
HTNC,73,0,193
HTO,33,29.806451612903224,24
HVL,73,0,297
HVS,95,0,537
HVSM,96,0,538
HVSP,96,0,538
HWD,167,0,531
HWZB,132,0,449
HZE,77,0,165
IJT,224,0,368
KBD,133,0,469
KBK,66,0,260
KLP,52,0,279
KMA,139,0,462
KMR,146,0,218
KMW,246,0,375
KPN,119,0,350
KPNZ,119,0,350
KRD,146,0,229
KRG,140,0,469
KTR,38,0,35
KW,218,0,424
KZ,133,0,452
LAA,143,0,284
LC,74,0,260
LDL,131,0,261
LDM,70,0,141
LEDN,132,0,268
LG,141,0,218
LLS,150,0,681
LLZM,127,0,255
LP,236,0,430
LTN,53,0,280
LTV,92,0,262
LUT,123,0,201
LW,199,0,350
LWC,0,0,0
MAS,89,0,170
MDB,170,0,469
MES,146,0,203
MG,209,0,367
MMLH,19,0,21
MP,132,0,350
MRB,131,0,397
MRN,82,0,311
MT,140,0,201
MTH,219,0,426
MTN,143,0,203
MTR,141,0,203
MZ,87,0,170
NDB,101,0,538
NH,131,0,232
NKK,90,0,537
NM,9,54.903225806451616,0
NMD,4,54.87096774193548,0
NMGO,6,54.87096774193548,1
NMH,12,0,21
NML,10,31.06451612903226,21
NS,118,0,537
NSCH,254,0,433
NVD,115,0,333
NVP,138,0,362
NWK,123,0,255
O,15,29.838709677419356,3
OBD,173,0,541
ODB,108,0,438
ODZ,113,0,327
OMN,127,0,357
OP,34,0,35
OST,83,0.03225806451612903,326
OT,55,0,140
OTB,32,0,257
OVN,142,0,465
OW,16,29.806451612903224,24
PMO,146,0,450
PMR,145,0,449
PMW,144,0,452
PT,97,0,540
RAI,116,0,173
RAT,122,0,350
RB,130,0,469
RD,248,0,434
RH,38,23.161290322580644,260
RHN,105,0,314
RL,79,0,262
RLB,118,0,390
RM,94,0,150
RS,27,29.806451612903224,24
RSD,101,0.03225806451612903,433
RSN,99,0,326
RSW,144,0,462
RTA,128,0,255
RTB,124,0,291
RTD,125,0,291
RTN,130,0,361
RTST,120,0,396
RTZ,121,0,396
RV,83,0,136
RVS,7,29.806451612903224,0
SBK,126,0,231
SD,92,0,551
SDA,237,0,424
SDM,129,0,361
SDT,95,0,171
SDTB,98,0,172
SGL,150,0,217
SGN,181,0,541
SHL,128,0,184
SK,221,0,367
SKND,220,0,367
SM,89,0,150
SN,128,0,232
SOG,148,0,218
SPTN,147,0,483
SPTZ,145,0,483
SRN,112,0,228
SSH,140,0,278
ST,93,0,551
STD,119,0,199
STM,232,0,430
STV,250,0,375
STZ,94,0,541
SWD,221,0,418
SWK,146,0,400
TB,56,28.29032258064516,97
TBG,64,0,294
TBR,61,28.258064516129032,110
TBU,57,28.258064516129032,110
TG,76,0,117
TL,50,0,38
TPSW,52,0,38
TWL,78,0,326
UHM,245,0,434
UHZ,242,0,434
UST,237,0,433
UT,82,0,97
UTG,144,0,487
UTLN,78,0,221
UTLR,85,0,170
UTO,85,0,170
UTT,87,0,170
UTVR,81,0,221
UTZL,84,0,170
VB,139,0,255
VD,69,0,260
VDL,142,0,218
VDM,237,0,431
VEM,61,0,260
VG,38,0,97
VH,140,0,278
VHP,125,0,397
VK,151,0,218
VL,71,0,116
VLB,41,0,63
VNDC,97,0,313
VNDW,96,0,313
VP,34,23.161290322580644,260
VRY,48,0,64
VS,176,0,471
VSS,175,0,471
VST,137,0,363
VSV,71,0,294
VTN,89,0,175
VZ,118,0,396
WAD,122,0,255
WADN,123,0,255
WADT,121,0,255
WC,0,0,0
WD,98,0,170
WDN,107,0,333
WF,36,0,257
WFM,234,0,433
WH,90,0.03225806451612903,336
WK,237,0,370
WL,53,0,277
WM,137,0,452
WP,110,0,549
WR,264,0,442
WS,242,0,433
WSM,226,0,419
WT,94,0,159
WTV,33,0,259
WV,159,0,350
WW,92,0,313
WWW,93,0,313
WZ,113,0,350
YPB,135,0,255
ZA,28,0,35
ZB,229,0,427
ZBM,47,0,97
ZD,131,0,449
ZDK,134,0,452
ZH,222,0,418
ZL,104,0.03225806451612903,336
ZLSH,109,0,350
ZLW,92,27.483870967741936,451
ZP,57,23.193548387096776,260
ZTM,130,0,255
ZTMO,129,0,255
ZV,42,0,257
ZVB,100,0,456
ZVT,148,0,466
ZWD,107,0,291
ZZS,134,0,452
