station,distance,services_per_day,n_of_disruptions
HGV,94,0,14
HGZ,163,0,90
HIL,118,0,576
HK,114,0,559
HKS,141,0,576
HLG,167,0,32
HLGH,168,0,36
HLM,107,0,499
HLMS,106,0,520
HLO,122,0,526
HM,154,0,437
HMBH,155,0,441
HMBV,151,0,437
HMH,153,0,437
HMN,72,0,274
HN,131,0,520
HNK,132,0,576
HNO,58,0,14
HNP,183,0,34
HON,34,0,66
HOR,65,0,241
HR,112,0,14
HRL,195,0,461
HRLW,197,0,478
HRN,146,0,67
HRT,136,0,376
[HRY,inf,0,0
HT,109,0,302
HTN,72,0,313
HTNC,73,0,341
HTO,108,0,302
HVL,49,0,240
HVS,59,0,240
HVSM,60,0,241
HVSP,60,0,241
HWD,134,0,602
HWZB,99,0,520
HZE,152,0,443
IJT,166,0,32
KBD,208,0,747
KBK,9,0,1
KLP,71,0,282
KMA,106,0,533
KMR,203,0,478
KMW,188,0,39
KPN,61,0,14
KPNZ,61,0,14
KRD,203,0,489
KRG,215,0,747
KTR,79,0,274
KW,160,0,88
KZ,100,0,523
LAA,125,0,427
LC,35,0,0
LDL,113,0,331
LDM,104,0,438
LEDN,114,0,338
LEER,221,0,106
LG,198,0,478
LLS,103,0,14
LLZM,109,0,398
LP,178,0,94
LTN,69,0,257
LTV,53,0,2
LUT,180,0,461
LW,141,0,14
LWC,144,0,31
MAS,71,0,313
MDB,245,0,747
MES,203,0,463
MG,151,0,31
MMLH,76,0,281
MP,74,0,14
MRB,73,0,137
MRN,84,0,345
MT,197,0,461
MTH,161,0,90
MTN,200,0,463
MTR,198,0,463
MZ,162,0,448
[NEA,inf,0,0
NDB,65,0,241
NH,188,0,492
NKK,54,0,240
NM,66,0,260
NMD,71,0,281
NMGO,69,0,281
NMH,69,0,281
NML,65,0,274
NS,73,0,14
NSCH,196,0,97
NVD,57,0,73
NVP,108,0,496
NWK,105,0,398
O,90,0,281
OBD,140,0,612
ODB,170,0,593
ODZ,74,0,67
OMN,69,0,21
OP,75,0,274
OST,25,0,66
OT,130,0,418
OTB,51,0,260
OVN,109,0,536
OW,91,0,302
PMO,113,0,521
PMR,112,0,520
PMW,111,0,523
PT,61,0,243
RAI,86,0,244
RAT,64,0,14
RB,205,0,747
RD,190,0,98
RH,37,0,3
RHN,107,0,348
RL,40,0,2
RLB,127,0,477
RM,151,0,410
RS,102,0,302
RSD,176,0,711
RSN,41,0,66
RSW,128,0,413
RTA,110,0,398
RTB,121,0,468
RTD,120,0,398
RTN,115,0,400
RTST,125,0,477
RTZ,124,0,477
RV,140,0,396
RVS,82,0,260
SBK,183,0,491
SD,56,0,254
SDA,179,0,88
SDM,124,0,468
SDT,129,0,468
SDTB,132,0,469
SGL,207,0,477
SGN,148,0,612
SHL,98,0,318
SK,163,0,31
SKND,162,0,31
SM,146,0,410
SN,185,0,492
SOG,205,0,478
SPTN,114,0,554
SPTZ,112,0,554
SRN,169,0,488
SSH,119,0,496
ST,57,0,254
STD,176,0,459
STM,174,0,94
STV,192,0,39
STZ,58,0,244
SWD,163,0,82
SWK,88,0,64
TB,131,0,375
TBG,81,0,49
TBR,136,0,388
TBU,132,0,388
TG,133,0,377
TL,91,0,277
TPSW,93,0,277
TWL,10,0,0
UHM,187,0,98
UHZ,184,0,98
UST,179,0,97
UT,64,0,240
UTG,111,0,558
UTLN,68,0,313
UTLR,67,0,313
UTM,72,0,313
UTO,61,0,264
UTT,69,0,313
UTVR,65,0,313
UTZL,66,0,313
VB,121,0,398
VD,30,0,0
VDL,199,0,478
VDM,179,0,95
VEM,14,0,2
VG,113,0,375
VH,122,0,348
VHP,67,0,137
VK,208,0,478
VL,128,0,376
VLB,98,0,323
VNDC,99,0,347
VNDW,98,0,347
VP,41,0,6
VRY,105,0,324
VS,251,0,749
VSS,250,0,749
VST,119,0,433
VSV,84,0,33
VTN,71,0,318
VZ,60,0,136
WAD,104,0,398
WADN,105,0,398
WADT,103,0,398
WC,75,0,260
WD,80,0,240
WDN,49,0,73
WF,55,0,260
WFM,176,0,97
WH,32,0,76
WK,179,0,34
WL,70,0,32
WM,104,0,523
WP,74,0,252
WR,206,0,106
WS,184,0,97
WSM,168,0,83
WT,169,0,437
WTV,50,0,9
WV,101,0,14
WW,63,0,14
WWW,62,0,14
WZ,55,0,14
YPB,117,0,398
ZA,69,0,274
ZB,171,0,91
ZBM,99,0,437
ZD,98,0,520
ZDK,101,0,523
ZH,164,0,82
ZL,46,0,0
ZLSH,51,0,14
ZLW,154,0,588
ZP,18,0,0
ZTM,112,0,398
ZTMO,111,0,398
ZV,59,0,12
ZVB,162,0,593
ZVT,115,0,537
ZWD,138,0,582
ZZS,101,0,523
