Station Code,Distance from NMGO,Services from/to NMGO,Disruptions on path to NMGO
NKK,84,0.0,301
NM,3,54.87096774193548,0
NMD,2,54.516129032258064,0
NMGO,0,0.0,0
NMH,6,0.0,21
NML,4,31.06451612903226,21
NS,112,0.0,301
NSCH,248,0.0,454
NVD,109,0.0,288
NVP,136,0.0,567
NWK,121,0.0,436
O,21,29.806451612903224,4
OBD,170,0.0,594
ODB,114,0.0,439
ODZ,107,0.0,348
OMN,121,0.0,378
OP,28,0.0,35
OST,77,0.032258064516129,347
OT,61,0.0,141
OTB,26,0.0,278
OVN,139,0.0,610
OW,22,29.806451612903224,25
PMO,143,0.0,573
PMR,142,0.0,594
PMW,141,0.0,597
PT,91,0.0,301
RAI,114,0.0,354
RAT,116,0.0,371
RB,136,0.0,470
RD,242,0.0,455
RH,32,23.161290322580644,279
RHN,99,0.0,78
RL,73,0.0,283
RLB,118,0.0,329
RM,88,0.0,150
RS,33,29.806451612903224,25
RSD,107,0.0,434
RSN,93,0.0,281
RSW,144,0.0,451
RTA,126,0.0,436
RTB,124,0.0,230
RTD,125,0.0,230
RTN,130,0.0,300
RTST,120,0.0,230
RTZ,121,0.0,230
RV,77,0.0,136
RVS,13,29.806451612903224,1
SBK,120,0.0,231
SD,86,0.0,315
SDA,231,0.0,445
SDM,129,0.0,300
SDT,95,0.0,112
SDTB,98,0.0,113
SGL,144,0.0,217
SGN,178,0.0,686
SHL,126,0.0,365
SK,215,0.0,388
SKND,214,0.0,388
SM,83,0.0,150
SN,122,0.0,232
SOG,142,0.0,218
SPTN,144,0.0,610
SPTZ,142,0.0,610
SRN,106,0.0,228
SSH,138,0.0,459
ST,87,0.0,315
STD,113,0.0,199
STM,226,0.0,451
STV,244,0.0,396
STZ,88,0.0,305
SWD,215,0.0,439
SWK,140,0.0,421
TB,62,28.258064516129032,98
TBG,58,0.0,315
TBR,67,28.258064516129032,111
TBU,63,28.258064516129032,111
TG,70,0.0,117
TL,44,0.0,38
TPSW,46,0.0,38
TWL,72,0.0,347
UHM,239,0.0,455
UHZ,236,0.0,455
UST,231,0.0,454
UT,80,0.0,278
UTG,141,0.0,632
UTLN,78,0.0,162
UTLR,83,0.0,351
UTO,83,0.0,351
UTT,85,0.0,351
UTVR,79,0.0,119
UTZL,82,0.0,351
VB,137,0.0,436
VD,63,0.0,281
VDL,136,0.0,218
VDM,231,0.0,452
VEM,55,0.0,281
VG,44,0.0,98
VH,138,0.0,459
VHP,119,0.0,418
VK,145,0.0,218
VL,65,0.0,116
VLB,35,0.0,63
VNDC,91,0.0,77
VNDW,90,0.0,77
VP,28,23.161290322580644,279
VRY,42,0.0,64
VS,182,0.0,466
VSS,181,0.0,439
VST,135,0.0,544
VSV,65,0.0,315
VTN,87,0.0,356
VZ,112,0.0,417
WAD,120,0.0,436
WADN,121,0.0,436
WADT,119,0.0,436
WC,6,54.516129032258064,1
WD,96,0.0,351
WDN,101,0.0,288
WF,30,0.0,21
WFM,228,0.0,454
WH,84,0.032258064516129,357
WK,231,0.0,391
WL,47,0.0,298
WM,134,0.0,597
WP,104,0.0,313
WR,258,0.0,463
WS,236,0.0,454
WSM,220,0.0,440
WT,100,0.0,141
WTV,27,0.0,280
WV,153,0.0,371
WW,86,0.0,334
WWW,87,0.0,334
WZ,107,0.0,371
YPB,133,0.0,354
ZA,22,0.0,35
ZB,223,0.0,448
ZBM,53,0.0,98
ZD,128,0.0,594
ZDK,131,0.0,597
ZH,216,0.0,439
ZL,98,0.032258064516129,357
ZLSH,103,0.0,371
ZLW,98,27.483870967741936,452
ZP,51,23.193548387096776,281
ZTM,128,0.0,351
ZTMO,127,0.0,436
ZV,36,0.0,278
ZVB,106,0.0,457
ZVT,145,0.0,610
ZWD,107,0.0,230
ZZS,131,0.0,597
